,Text,Polarity
101,men in black international pg h min action adventure comedy june usa,0
102,here our men in black international review,0
103,men in black and the battle between nostalgia and fatigue,0
105,just wrapped our week global press tour for mib beyond appreciative for all the support we received and excitement,1
106,saw men in black international with are really enjoyed it,1
107,box office men in black international shaft add to summer sequel slump,-1
108,men in black international leads a parade of slumping sequels,-1
109,men in black international continues the summer box office sequel slump,-1
110,the new is a chore to get through we discuss meninblackinternational amp the mib franchise overall,0
111,vid on mib international doing poorly and other poor performers,-1
112,fuck the president mib,-1
114,interesting for some extent meninblack mibinternational whole st half feels bored only nd half has some e,-1
117,might spend all day at the cinema tomorrow playing catchup detective pikachu men in black and maybe aladdin round because i deserve it,0
120,this isn t even close to my idea of a men in black movie couldn t even bear minutes,-1
123,box office sequelitis continues with mib international and shaft,0
125,mibinternational earns the worst opening weekend ever for a men in black movie,-1
126,implying mib international is a cutting edge thought provoking movie not reliant on humor and fun,-1
127,asgard in the morning dark phoenix and mib international a year of bombs,-1
129,what does it take to suit up for men in black international chris hemsworth trainer amp centr expert luke zocchi reveals c,0
133,agents assemble help and i save the world again see mib in theaters everywhere now,0
139,mib that was awesome mibinternational,1
140,start your summer with mib see chris hemsworth and tessa thompson back together in theaters now,0
141,sony men in black international the fourth mib film earned only million at the north american box office,-1
142,i loved the book and i am excited for the movie by the way watched men in black last night you,1
143,i let the theatre when tes joined the establishment i thought she will be anti men in black but instead,-1
146,you lasted longer than me i thought tes would be anti mib but she made it her life mission to join the e,0
147,box office what india vs pakistan meant for game over mib sales,0
150,moviereview men in black international agents m and h must guard the alien fungus,0
152,mib that was awesome mibinternational,1
153,so i did not hate men in black international it is still hollow and glossy cgi overkill but it was enjoyable enoug,1
156,start your summer with mib see chris hemsworth and tessa thompson back together in theaters now,0
157,mib that was awesome mibinternational,1
161,i won t try to watch that mib now thank you,-1
163,like the final seconds of men in black broke my brain in a fashion that has never been fixed nor replicated,1
164,what d you think of men in black international brian,0
166,was interested in shaft then i hear it more of a comedy so yeah no thanks also mib international,-1
168,ok but mib would have been so much worse without hemsworth playing agent h like that character was the most annoying,-1
169,dark phoenix is not great but it is at least engaging and it tires to do something mib international is so dull,-1
170,start your summer with mib see chris hemsworth and tessa thompson back together in theaters now,0
171,mib that was awesome mibinternational,1
172,love new new mib,1
175,mib international is so nice must watch pipz,1
176,i saw mib international over the weekend randomly and yea it did not do it for me lol,-1
177,dark phoenix mib international is just so completely bland,-1
179,this week on screencast we reviewed the new men in black talked about the spider man imax poster and more now live,0
181,it is just a sequel the original mib movies happened this is just set after them,0
182,girl its mib starts at and i ll be able to arrive at the cinemas pm should i still go xoxo,0
185,box office men in black international wins a weak weekend of underperforming sequels,-1
187,does anyone want to go watch men in black this weekend,0
189,i m seeing mib tomorrow and i m so excited,1
191,pull up late to mib see a group of teenagers in the parking lot being teenagers laughing playing tag,0
193,last watched adding mib and excitingly toystory this week and hopefully thedeaddontdie as well what are,0
194,my favorite part of the new mib movie is saying molly,-1
195,i saw mib thought it was a fun film it not the originals of course but didn t feel like i wasted my,1
196,start your summer with mib see chris hemsworth and tessa thompson back together in theaters now,0
197,weekend men in black international m the secret life of pets aladdin dark phoen,0
199,you thought mib started in nyc guess again there a whole international branch the world is bigger than you thought,1
200,pull up late to mib see a group of teenagers in the parking lot being teenagers laughing playing tag,0
205,mib that was awesome mibinternational,1
208,the part in mib where will smith goes nypd means i ma nock yo punk ass down was better than the entirety of mib international,-1
210,i voted for teammibinternational via i can t wait to go see men in black international,1
211,franchise fatigue continues as men in black international and shaft disappoint at box office foxnews,-1
212,i really thought mib international was a good solid movie from the third film there were some parts were confusing,1
215,guys men in black is totally chris hemsworth is hot af,1
216,yeah it is franchise fatigue because of all the mib movies lmao certainly not because of whatever this is,-1
224,men in black international not bad thor n valkyrie,1
